平均直径	比根长	比表面积	组织密度	根碳含量	根氮含量	碳氮比	分支强度	侵染率	菌丝密度
0.25 	60.59189189	481.6216216	0.308333333	2.660073582	1.196092967	1.463980615	1.042244898	52.3255814	18.23848
0.25 	79.41851852	616.2962963	0.245454545	2.649407008	1.212163091	1.437243917	1.3875	40.4494382	21.778185
0.23 	128.1	913.3333333	0.15	2.702981577	1.085623754	1.617357823	2.089090909	54.54545455	14.698775
0.28	21.17747748	186.8468468	0.652941176	2.655981329	1.176232816	1.479748513	1.803398058	53.16455696	18.778435
0.29	48.03529412	432.3529412	0.283333333	2.665116357	0.965796508	1.699319849	1.848684211	49.38271605	21.71819
0.51	9.062857143	145.2571429	0.3125	2.656737218	1.109308843	1.547428375	1.932173913	62.06896552	21.178235
0.29	29.43138686	264.379562	0.489285714	2.685540054	1.14242795	1.543112104	1.217848837	12.98701299	18.35847
0.26	77.51944444	633.6111111	0.225	2.693040732	1.129829372	1.563211359	1.254333333	52.3255814	22.43813
0.28	43.65833333	385	0.327272727	2.681652247	0.829712139	1.851940108	0.571323529	75	23.098075
